topology,variant,total_bytes,peak_bps,mean_tps,peak_tps,num_queries,num_leaves
1/1,delta,164733524.0,9633857.9,6015818.2,35338000.0,1.0,1.0
1/1,delta_zstd,88650413.0,4303449.5,5162367.9,27412000.0,1.0,1.0
1/1,split,934472681.0,35511733.1,5357007.7,38062000.0,1.0,1.0
1/1,split_zstd,459990674.0,7368733.4,2110227.2,23992000.0,1.0,1.0
