topology,variant,total_bytes,peak_bps,mean_tps,peak_tps,num_queries,num_leaves
1/1,delta,20688752.0,3780031.9,2168544.2,3282000.0,1.0,1.0
1/1,delta_zstd,10942229.0,1860188.8,1983996.5,3177000.0,1.0,1.0
1/1,split,116610186.0,18175440.8,2072022.2,3234000.0,1.0,1.0
1/1,split_zstd,57504571.0,5074238.8,1277321.8,2969000.0,1.0,1.0
