dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",1,12446855341.382769,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_1sec,0.536562408,342908333.227847,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",1,19582317816.62829,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_1sec,0.341048222,539488873.2186383,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",1,19626322441.97523,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_1sec,0.34028355,540701191.697336,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",1,19662174854.628735,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_1sec,0.33966307,541688918.3743172,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,3053029666.1552835,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,2.187504022,84110346.3808854,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,3076076595.068401,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,2.171114557,84745284.58518368,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,3010562497.787781,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,2.21836108,82940384.52928501,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,8981819487.039162,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.743559218,247447300.15572208,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,8798220826.995344,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.759075591,242389194.4116011,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,8859776944.087223,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.753801672,244085052.91826946,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,12730716443.879078,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.524598494,350728648.87027293,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,13636873455.521807,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.489739433,375693090.24785024,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(1000, 0, 100000, uint64)",1,14573489282.818968,Nexmark_EquiWidthHistogramBuild_1000_0_100000_uint64_1sec,0.45826463,401496665.80202794,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,2652820974.1123233,Nexmark_CountMinBuild_1_100_uint64_1sec,2.517514276,73084678.30908936,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,2745278413.79945,Nexmark_CountMinBuild_1_100_uint64_1sec,2.432727639,75631861.96858102,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,2770121640.728546,Nexmark_CountMinBuild_1_100_uint64_1sec,2.410910256,76316287.81789047,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,9245247855.448446,Nexmark_CountMinBuild_1_100_uint64_1sec,0.722372702,254704698.12963668,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,9220545216.647413,Nexmark_CountMinBuild_1_100_uint64_1sec,0.724308001,254024145.4546627,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,9348083703.110458,Nexmark_CountMinBuild_1_100_uint64_1sec,0.714426067,257537804.81808764,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,18595029622.567474,Nexmark_CountMinBuild_1_100_uint64_1sec,0.359155904,512289284.2658101,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,18705626415.713604,Nexmark_CountMinBuild_1_100_uint64_1sec,0.357032399,515336203.4239363,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(1, 100, uint64)",1,19276520965.900253,Nexmark_CountMinBuild_1_100_uint64_1sec,0.346458507,531064232.17369574,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
