query_id,number_of_tasks,normalized_start_timestamp,normalized_end_timestamp,latency
50114897,1,0,0,1.7093e-05
1384204812,1,3013,3013,1.2397e-05
127775316,1,6007,6007,9.24e-06
1399905002,1,8980,8980,1.5182999999999998e-05
50114897,1,10024,10024,1.7109000000000002e-05
1384204812,1,13034,13034,1.3753e-05
127775316,1,16035,16035,1.4785e-05
1399905002,1,19004,19004,1.1602e-05
